row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,0.3555873036;2.184744596,,,,,
POINT,1,,-0.906075418;-0.8630304337,,,,,
POINT,2,,0.5112646222;1.318555117,,,,,
POINT,3,,0.8325521946;-0.763700068,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,-0.7151563764;0.8022958636;-0.4024804533;0.455611974;0.8067082763;-0.9470146298,1,,,1
SUBSET_WITNESS,,{0},,-0.08528956771;-0.02609496191;-0.03748873249;0.4458137155;0.5830301046;2.668941498,2.298136711,0.7888802157,2.778739958,1
SUBSET_WITNESS,,{1},,-0.8707883954;-1.273618221;-1.759490848;-1.405875564;-1.529700041;-1.054489732,2.271133423,1.5400153,5.236688716,1
SUBSET_WITNESS,,{2},,0.4223540127;1.197996974;0.140777424;1.569162488;1.773980975;0.9248884916,2.15458703,1.041957373,2.89516062,1
SUBSET_WITNESS,,{3},,1.502956986;0.1763825715;1.12770462;1.45515275;0.9268839359;-1.348350763,2.609757662,1.705462517,8.416475845,1
SUBSET_WITNESS,,"{0,1}",,-0.961751461;-0.5981861353;-0.5897342563;-0.5829913616;-0.5936604142;1.522653699,6.037483215,5.990403426,7.072767447,1
SUBSET_WITNESS,,"{0,2}",,1.041369557;0.6677736044;0.8477696776;0.7462300062;0.7124450803;2.210250139,2.882286549,1.309544278,8.937244966,1
SUBSET_WITNESS,,"{0,3}",,0.399912715;0.4124993086;-0.9082143307;-0.8849996328;-0.8821430802;1.451538086,5.701908588,5.320527865,5.945897695,1
SUBSET_WITNESS,,"{1,2}",,-0.8585966825;0.05813810974;0.05881140381;-0.4512244761;0.05206987634;0.3744418323,4.785232067,4.315152699,5.671058981,1
SUBSET_WITNESS,,"{1,3}",,0.3984009027;-1.171362758;-1.20019722;-1.023762941;-0.8229731917;-0.8984223008,2.5098176,1.875250843,14.82456334,1
SUBSET_WITNESS,,"{2,3}",,1.206044555;1.006217957;1.119518399;1.380384922;-0.1671157926;0.5057610273,3.745023966,2.97387495,5.87260315,1
SUBSET_WITNESS,,"{0,1,2}",,-0.544993639;-0.1077238843;-0.4578355849;-0.09643337131;-0.2544492781;0.7883251309,5.229743481,4.550067962,5.534853789,1
SUBSET_WITNESS,,"{0,1,3}",,-0.1991704255;-0.7854208946;-0.7745521665;-0.7739607096;-0.7668176889;1.333252668,6.235473156,6.147581369,7.124950796,1
SUBSET_WITNESS,,"{0,2,3}",,1.044796586;0.7054868937;0.5058786273;0.6800955534;0.4451645315;0.6574560404,3.664228439,3.065966658,14.5445512,1
SUBSET_WITNESS,,"{1,2,3}",,-0.06798706949;-0.5646853447;-0.3390811682;-0.02086646296;-0.2888601422;0.3054308891,4.653269768,4.166072527,5.597731248,1
SUBSET_WITNESS,,"{0,1,2,3}",,-0.1394837797;-0.3754633069;-0.2597313225;-0.3333052397;-0.09546157718;0.8695278168,5.195627689,,,1
