row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,-0.2252619714;0.005592748057;0.03450056165,,,,,
POINT,1,,2.910150051;-1.693307877;1.340213418,,,,,
POINT,2,,-0.325676173;-0.1947451979;-1.085707188,,,,,
POINT,3,,-0.07271105796;0.83101964;-0.9290207624,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,1.844098091;-1.157818675;-1.393671274,0.2492926121,,,1
SUBSET_WITNESS,,{0},,-0.3710918128;-0.03906013817;0.859916389,0.2043619305,0.7045715328,3.29129441,1
SUBSET_WITNESS,,{1},,2.910150051;-1.693307877;1.340213418,1,0,14.42195773,1
SUBSET_WITNESS,,{2},,-0.5192397237;-0.7061723471;-1.668836117,0.430603236,0.6268495917,2.619576249,1
SUBSET_WITNESS,,{3},,0.06831344217;1.523175716;-1.303699613,0.7011551261,0.6393521726,3.154000744,1
SUBSET_WITNESS,,"{0,1}",,1.694786191;-0.9629659653;0.7205122113,4.193107128,5.095302731,6.592250943,1
SUBSET_WITNESS,,"{0,2}",,-0.9531725645;-1.009992003;-0.3945198655,0.1372286677,1.489803657,3.441346169,1
SUBSET_WITNESS,,"{0,3}",,0.08702004701;1.093974471;-0.133338213,0.7288209796,1.254805245,2.738123164,1
SUBSET_WITNESS,,"{1,2}",,2.461812735;-1.381446004;-1.288766146,8.863954544,9.21958613,9.417401865,1
SUBSET_WITNESS,,"{1,3}",,1.548218012;-2.102893114;-0.1866865903,5.300199032,5.070820928,6.756624974,1
SUBSET_WITNESS,,"{2,3}",,-0.2090438157;0.5591033697;-1.825520158,0.6256577969,1.129213945,3.766314232,1
SUBSET_WITNESS,,"{0,1,2}",,2.16669035;-0.8728943467;-0.497045368,5.152061462,6.949247025,6.988687495,1
SUBSET_WITNESS,,"{0,1,3}",,1.34525311;-1.317498803;0.5217448473,4.751589298,4.530694589,6.636482596,1
SUBSET_WITNESS,,"{0,2,3}",,-0.20788306;0.2139557153;-0.6600757837,1,0.5261534216,17.19823062,1
SUBSET_WITNESS,,"{1,2,3}",,1.849021912;-1.566916227;-0.8073169589,5.497917175,6.68966645,7.472168565,1
SUBSET_WITNESS,,"{0,1,2,3}",,1.45823288;-0.785051465;0.1050498411,4.781972408,,,1
